species,factor,value,score
Sequoia sempervirens A1,md,90,1
Sequoia sempervirens A1,md,120,1
Sequoia sempervirens A1,md,140,1
Sequoia sempervirens A1,md,160,1
Sequoia sempervirens A1,md,180,1
Sequoia sempervirens A1,md,200,0.8
Sequoia sempervirens A1,md,230,0.6
Sequoia sempervirens A1,md,260,0.4
Sequoia sempervirens A1,md,290,0
Sequoia sempervirens A1,md,320,NA
Master,md,20,1
Master,md,60,NA
Master,md,90,NA
Master,md,120,NA
Master,md,140,NA
Master,md,160,NA
Master,md,180,NA
Master,md,200,NA
Master,md,230,NA
Master,md,260,NA
Master,md,290,NA
Master,md,320,0
Quercus robur,md,20,0.3
Quercus robur,md,60,0.6
Quercus robur,md,90,0.8
Quercus robur,md,120,1
Quercus robur,md,140,1
Quercus robur,md,160,1
Quercus robur,md,180,1
Quercus robur,md,200,0.9
Quercus robur,md,230,0.7
Quercus robur,md,260,0.5
Quercus robur,md,290,0.3
Quercus robur,md,320,0
Quercus petraea,md,20,0.8
Quercus petraea,md,60,1
Quercus petraea,md,90,1.1
Quercus petraea,md,120,1.1
Quercus petraea,md,140,1.1
Quercus petraea,md,160,1.1
Quercus petraea,md,180,1
Quercus petraea,md,200,0.85
Quercus petraea,md,230,0.65
Quercus petraea,md,260,0.4
Quercus petraea,md,290,0
Quercus petraea,md,320,NA
Fagus sylvatica,md,20,0.5
Fagus sylvatica,md,60,0.7
Fagus sylvatica,md,90,0.9
Fagus sylvatica,md,120,1
Fagus sylvatica,md,140,1
Fagus sylvatica,md,160,1
Fagus sylvatica,md,180,1
Fagus sylvatica,md,200,0.75
Fagus sylvatica,md,230,0.5
Fagus sylvatica,md,260,0.1
Fagus sylvatica,md,290,NA
Fagus sylvatica,md,320,NA
Fraxinus excelsior,md,20,0.75
Fraxinus excelsior,md,60,0.9
Fraxinus excelsior,md,90,1
Fraxinus excelsior,md,120,1
Fraxinus excelsior,md,140,1
Fraxinus excelsior,md,160,0.9
Fraxinus excelsior,md,180,0.7
Fraxinus excelsior,md,200,0.5
Fraxinus excelsior,md,230,0
Fraxinus excelsior,md,260,NA
Fraxinus excelsior,md,290,NA
Fraxinus excelsior,md,320,NA
Acer pseudoplatanus,md,20,0.6
Acer pseudoplatanus,md,60,0.9
Acer pseudoplatanus,md,90,1
Acer pseudoplatanus,md,120,1
Acer pseudoplatanus,md,140,1
Acer pseudoplatanus,md,160,1
Acer pseudoplatanus,md,180,1
Acer pseudoplatanus,md,200,1
Acer pseudoplatanus,md,230,0.75
Acer pseudoplatanus,md,260,0.5
Acer pseudoplatanus,md,290,0
Acer pseudoplatanus,md,320,NA
Ulmus glabra,md,20,0.5
Ulmus glabra,md,60,0.75
Ulmus glabra,md,90,0.9
Ulmus glabra,md,120,1
Ulmus glabra,md,140,1.1
Ulmus glabra,md,160,1
Ulmus glabra,md,180,0.8
Ulmus glabra,md,200,0.7
Ulmus glabra,md,230,0.4
Ulmus glabra,md,260,NA
Ulmus glabra,md,290,NA
Ulmus glabra,md,320,NA
Castanea sativa,md,20,0.3
Castanea sativa,md,60,0.8
Castanea sativa,md,90,1
Castanea sativa,md,120,1.1
Castanea sativa,md,140,1.1
Castanea sativa,md,160,1.1
Castanea sativa,md,180,1.1
Castanea sativa,md,200,1
Castanea sativa,md,230,0.75
Castanea sativa,md,260,0.5
Castanea sativa,md,290,0
Castanea sativa,md,320,NA
Betula pendula,md,20,0.5
Betula pendula,md,60,0.75
Betula pendula,md,90,1
Betula pendula,md,120,1.1
Betula pendula,md,140,1.2
Betula pendula,md,160,1.2
Betula pendula,md,180,1.1
Betula pendula,md,200,1
Betula pendula,md,230,0.8
Betula pendula,md,260,0.5
Betula pendula,md,290,0
Betula pendula,md,320,NA
Betula pubescens,md,20,1
Betula pubescens,md,60,1.1
Betula pubescens,md,90,1.2
Betula pubescens,md,120,1.1
Betula pubescens,md,140,1
Betula pubescens,md,160,0.8
Betula pubescens,md,180,0.7
Betula pubescens,md,200,0.6
Betula pubescens,md,230,0.4
Betula pubescens,md,260,0.1
Betula pubescens,md,290,0
Betula pubescens,md,320,NA
Populus tremula,md,20,0.5
Populus tremula,md,60,0.75
Populus tremula,md,90,1
Populus tremula,md,120,1.1
Populus tremula,md,140,1.1
Populus tremula,md,160,1.1
Populus tremula,md,180,1
Populus tremula,md,200,0.9
Populus tremula,md,230,0.8
Populus tremula,md,260,0.6
Populus tremula,md,290,0.2
Populus tremula,md,320,NA
Populus nigra,md,20,0.5
Populus nigra,md,60,0.7
Populus nigra,md,90,0.8
Populus nigra,md,120,1
Populus nigra,md,140,1
Populus nigra,md,160,1
Populus nigra,md,180,1
Populus nigra,md,200,1
Populus nigra,md,230,0.8
Populus nigra,md,260,0.6
Populus nigra,md,290,0.4
Populus nigra,md,320,0
Alnus glutinosa,md,20,0.5
Alnus glutinosa,md,60,0.7
Alnus glutinosa,md,90,0.9
Alnus glutinosa,md,120,1
Alnus glutinosa,md,140,1
Alnus glutinosa,md,160,1
Alnus glutinosa,md,180,1
Alnus glutinosa,md,200,1
Alnus glutinosa,md,230,0.8
Alnus glutinosa,md,260,0.6
Alnus glutinosa,md,290,0.4
Alnus glutinosa,md,320,NA
Carpinus betulus,md,20,NA
Carpinus betulus,md,60,NA
Carpinus betulus,md,90,0.5
Carpinus betulus,md,120,0.75
Carpinus betulus,md,140,1
Carpinus betulus,md,160,1.1
Carpinus betulus,md,180,1.1
Carpinus betulus,md,200,1.1
Carpinus betulus,md,230,1
Carpinus betulus,md,260,0.9
Carpinus betulus,md,290,0.75
Carpinus betulus,md,320,0.4
Tilia cordata,md,20,NA
Tilia cordata,md,60,0.5
Tilia cordata,md,90,0.75
Tilia cordata,md,120,1
Tilia cordata,md,140,1
Tilia cordata,md,160,1
Tilia cordata,md,180,1
Tilia cordata,md,200,0.9
Tilia cordata,md,230,0.75
Tilia cordata,md,260,0.5
Tilia cordata,md,290,NA
Tilia cordata,md,320,NA
Acer platanoides,md,20,0.75
Acer platanoides,md,60,1
Acer platanoides,md,90,1.1
Acer platanoides,md,120,1.1
Acer platanoides,md,140,1.1
Acer platanoides,md,160,1.1
Acer platanoides,md,180,1.1
Acer platanoides,md,200,1
Acer platanoides,md,230,0.75
Acer platanoides,md,260,0.5
Acer platanoides,md,290,NA
Acer platanoides,md,320,NA
Prunus avium,md,20,0.5
Prunus avium,md,60,0.75
Prunus avium,md,90,1
Prunus avium,md,120,1.1
Prunus avium,md,140,1.1
Prunus avium,md,160,1.1
Prunus avium,md,180,1.1
Prunus avium,md,200,1
Prunus avium,md,230,0.75
Prunus avium,md,260,0.5
Prunus avium,md,290,NA
Prunus avium,md,320,NA
Nothofagus procera,md,20,0.5
Nothofagus procera,md,60,0.6
Nothofagus procera,md,90,0.75
Nothofagus procera,md,120,1
Nothofagus procera,md,140,1
Nothofagus procera,md,160,1
Nothofagus procera,md,180,1
Nothofagus procera,md,200,1
Nothofagus procera,md,230,0.8
Nothofagus procera,md,260,0.6
Nothofagus procera,md,290,NA
Nothofagus procera,md,320,NA
Pinus pinaster,md,20,NA
Pinus pinaster,md,60,0.2
Pinus pinaster,md,90,0.5
Pinus pinaster,md,120,0.8
Pinus pinaster,md,140,1
Pinus pinaster,md,160,1.05
Pinus pinaster,md,180,1
Pinus pinaster,md,200,1
Pinus pinaster,md,230,0.9
Pinus pinaster,md,260,0.75
Pinus pinaster,md,290,0.6
Pinus pinaster,md,320,0.5
Pinus radiata,md,20,NA
Pinus radiata,md,60,NA
Pinus radiata,md,90,0.3
Pinus radiata,md,120,0.6
Pinus radiata,md,140,0.8
Pinus radiata,md,160,1
Pinus radiata,md,180,1
Pinus radiata,md,200,1
Pinus radiata,md,230,0.9
Pinus radiata,md,260,0.8
Pinus radiata,md,290,0.7
Pinus radiata,md,320,0.6
Pinus strobus,md,20,0.6
Pinus strobus,md,60,0.9
Pinus strobus,md,90,1
Pinus strobus,md,120,1.1
Pinus strobus,md,140,1.1
Pinus strobus,md,160,0.9
Pinus strobus,md,180,0.8
Pinus strobus,md,200,NA
Pinus strobus,md,230,0.6
Pinus strobus,md,260,0.5
Pinus strobus,md,290,0.4
Pinus strobus,md,320,0.3
Picea omorika,md,20,NA
Picea omorika,md,60,0.5
Picea omorika,md,90,0.7
Picea omorika,md,120,0.9
Picea omorika,md,140,1
Picea omorika,md,160,1.1
Picea omorika,md,180,1.1
Picea omorika,md,200,1.1
Picea omorika,md,230,1
Picea omorika,md,260,0.8
Picea omorika,md,290,0.6
Picea omorika,md,320,0.3
Picea orientalis,md,20,NA
Picea orientalis,md,60,0.5
Picea orientalis,md,90,0.7
Picea orientalis,md,120,0.95
Picea orientalis,md,140,1.1
Picea orientalis,md,160,1.1
Picea orientalis,md,180,NA
Picea orientalis,md,200,NA
Picea orientalis,md,230,1.1
Picea orientalis,md,260,1
Picea orientalis,md,290,0.75
Picea orientalis,md,320,0.5
Abies grandis,md,20,0.5
Abies grandis,md,60,0.8
Abies grandis,md,90,1
Abies grandis,md,120,1.05
Abies grandis,md,140,1.05
Abies grandis,md,160,1
Abies grandis,md,180,0.8
Abies grandis,md,200,0.65
Abies grandis,md,230,0.3
Abies grandis,md,260,NA
Abies grandis,md,290,NA
Abies grandis,md,320,NA
Abies alba,md,20,NA
Abies alba,md,60,0.75
Abies alba,md,90,1
Abies alba,md,120,1.1
Abies alba,md,140,1.1
Abies alba,md,160,0.9
Abies alba,md,180,0.75
Abies alba,md,200,0.55
Abies alba,md,230,NA
Abies alba,md,260,NA
Abies alba,md,290,NA
Abies alba,md,320,NA
Abies nordmanniana,md,20,NA
Abies nordmanniana,md,60,0.2
Abies nordmanniana,md,90,0.65
Abies nordmanniana,md,120,0.95
Abies nordmanniana,md,140,1.2
Abies nordmanniana,md,160,1.1
Abies nordmanniana,md,180,1
Abies nordmanniana,md,200,0.9
Abies nordmanniana,md,230,NA
Abies nordmanniana,md,260,0.5
Abies nordmanniana,md,290,NA
Abies nordmanniana,md,320,0
Sequoiadendron giganteum,md,20,NA
Sequoiadendron giganteum,md,60,0.4
Sequoiadendron giganteum,md,90,0.75
Sequoiadendron giganteum,md,120,1
Sequoiadendron giganteum,md,140,1.1
Sequoiadendron giganteum,md,160,1.2
Sequoiadendron giganteum,md,180,1.1
Sequoiadendron giganteum,md,200,0.9
Sequoiadendron giganteum,md,230,0.7
Sequoiadendron giganteum,md,260,0.6
Sequoiadendron giganteum,md,290,0.5
Sequoiadendron giganteum,md,320,0.3
Cryptomeria japonica,md,20,0.5
Cryptomeria japonica,md,60,1
Cryptomeria japonica,md,90,1.1
Cryptomeria japonica,md,120,1.2
Cryptomeria japonica,md,140,1
Cryptomeria japonica,md,160,0.8
Cryptomeria japonica,md,180,0.6
Cryptomeria japonica,md,200,0.4
Cryptomeria japonica,md,230,NA
Cryptomeria japonica,md,260,NA
Cryptomeria japonica,md,290,NA
Cryptomeria japonica,md,320,NA
Chamaecyparis lawsoniana,md,20,0.5
Chamaecyparis lawsoniana,md,60,1
Chamaecyparis lawsoniana,md,90,1.1
Chamaecyparis lawsoniana,md,120,1.2
Chamaecyparis lawsoniana,md,140,1.1
Chamaecyparis lawsoniana,md,160,1
Chamaecyparis lawsoniana,md,180,0.85
Chamaecyparis lawsoniana,md,200,0.7
Chamaecyparis lawsoniana,md,230,0.5
Chamaecyparis lawsoniana,md,260,0.3
Chamaecyparis lawsoniana,md,290,NA
Chamaecyparis lawsoniana,md,320,0
Cupressocyparis x leyandii,md,20,0.6
Cupressocyparis x leyandii,md,60,1
Cupressocyparis x leyandii,md,90,NA
Cupressocyparis x leyandii,md,120,NA
Cupressocyparis x leyandii,md,140,NA
Cupressocyparis x leyandii,md,160,NA
Cupressocyparis x leyandii,md,180,NA
Cupressocyparis x leyandii,md,200,0.75
Cupressocyparis x leyandii,md,230,0.6
Cupressocyparis x leyandii,md,260,0.45
Cupressocyparis x leyandii,md,290,0.3
Cupressocyparis x leyandii,md,320,0.2
Sequoia sempervirens C,md,20,0.5
Sequoia sempervirens C,md,60,NA
Sequoia sempervirens C,md,90,NA
Sequoia sempervirens C,md,120,1.1
Sequoia sempervirens C,md,140,1.2
Sequoia sempervirens C,md,160,NA
Sequoia sempervirens C,md,180,NA
Sequoia sempervirens C,md,200,0.75
Sequoia sempervirens C,md,230,0.6
Sequoia sempervirens C,md,260,0.5
Sequoia sempervirens C,md,290,0.4
Sequoia sempervirens C,md,320,0.3
Alnus rubra,md,20,1.1
Alnus rubra,md,60,1.1
Alnus rubra,md,90,1.1
Alnus rubra,md,120,1.2
Alnus rubra,md,140,1.2
Alnus rubra,md,160,1.05
Alnus rubra,md,180,0.9
Alnus rubra,md,200,0.75
Alnus rubra,md,230,0.6
Alnus rubra,md,260,0.4
Alnus rubra,md,290,0.2
Alnus rubra,md,320,0
Alnus cordata,md,20,NA
Alnus cordata,md,60,NA
Alnus cordata,md,90,0.5
Alnus cordata,md,120,0.85
Alnus cordata,md,140,1
Alnus cordata,md,160,1.1
Alnus cordata,md,180,1.2
Alnus cordata,md,200,1.2
Alnus cordata,md,230,1
Alnus cordata,md,260,0.75
Alnus cordata,md,290,0.5
Alnus cordata,md,320,NA
Alnus incana,md,20,0.2
Alnus incana,md,60,0.75
Alnus incana,md,90,1.1
Alnus incana,md,120,1.2
Alnus incana,md,140,1.2
Alnus incana,md,160,1.1
Alnus incana,md,180,1
Alnus incana,md,200,0.9
Alnus incana,md,230,0.75
Alnus incana,md,260,0.5
Alnus incana,md,290,NA
Alnus incana,md,320,NA
Eucalyptus gunnii,md,20,0.3
Eucalyptus gunnii,md,60,0.65
Eucalyptus gunnii,md,90,0.85
Eucalyptus gunnii,md,120,1
Eucalyptus gunnii,md,140,1.1
Eucalyptus gunnii,md,160,1.1
Eucalyptus gunnii,md,180,1.1
Eucalyptus gunnii,md,200,1
Eucalyptus gunnii,md,230,0.85
Eucalyptus gunnii,md,260,0.6
Eucalyptus gunnii,md,290,0.3
Eucalyptus gunnii,md,320,NA
Euclayptus nitens,md,20,NA
Euclayptus nitens,md,60,0.5
Euclayptus nitens,md,90,0.7
Euclayptus nitens,md,120,0.95
Euclayptus nitens,md,140,1.1
Euclayptus nitens,md,160,1.1
Euclayptus nitens,md,180,NA
Euclayptus nitens,md,200,NA
Euclayptus nitens,md,230,1.1
Euclayptus nitens,md,260,0.75
Euclayptus nitens,md,290,0.5
Euclayptus nitens,md,320,NA
Nothofagus obliqua,md,20,0.5
Nothofagus obliqua,md,60,0.8
Nothofagus obliqua,md,90,1
Nothofagus obliqua,md,120,1.05
Nothofagus obliqua,md,140,1.05
Nothofagus obliqua,md,160,1.1
Nothofagus obliqua,md,180,1.1
Nothofagus obliqua,md,200,1
Nothofagus obliqua,md,230,0.75
Nothofagus obliqua,md,260,0.5
Nothofagus obliqua,md,290,NA
Nothofagus obliqua,md,320,NA
Quercus rubra,md,20,0.5
Quercus rubra,md,60,0.59
Quercus rubra,md,90,0.75
Quercus rubra,md,120,1
Quercus rubra,md,140,1
Quercus rubra,md,160,1.1
Quercus rubra,md,180,1.1
Quercus rubra,md,200,1
Quercus rubra,md,230,0.85
Quercus rubra,md,260,0.55
Quercus rubra,md,290,0.2
Quercus rubra,md,320,NA
Acer macrophyllum,md,20,NA
Acer macrophyllum,md,60,0.2
Acer macrophyllum,md,90,0.65
Acer macrophyllum,md,120,0.95
Acer macrophyllum,md,140,1.1
Acer macrophyllum,md,160,1.1
Acer macrophyllum,md,180,1
Acer macrophyllum,md,200,0.9
Acer macrophyllum,md,230,0.75
Acer macrophyllum,md,260,0.55
Acer macrophyllum,md,290,NA
Acer macrophyllum,md,320,0
Sorbus aucuparia,md,20,1.1
Sorbus aucuparia,md,60,1.1
Sorbus aucuparia,md,90,1.1
Sorbus aucuparia,md,120,1.1
Sorbus aucuparia,md,140,1.1
Sorbus aucuparia,md,160,1.1
Sorbus aucuparia,md,180,1.1
Sorbus aucuparia,md,200,0.9
Sorbus aucuparia,md,230,0.8
Sorbus aucuparia,md,260,0.6
Sorbus aucuparia,md,290,0.4
Sorbus aucuparia,md,320,0.1
Sorbus torminalis,md,20,0
Sorbus torminalis,md,60,NA
Sorbus torminalis,md,90,0.5
Sorbus torminalis,md,120,0.75
Sorbus torminalis,md,140,0.95
Sorbus torminalis,md,160,1.1
Sorbus torminalis,md,180,1.1
Sorbus torminalis,md,200,1
Sorbus torminalis,md,230,0.95
Sorbus torminalis,md,260,0.8
Sorbus torminalis,md,290,0.55
Sorbus torminalis,md,320,NA
Sorbus domestica,md,20,0.5
Sorbus domestica,md,60,1
Sorbus domestica,md,90,1.1
Sorbus domestica,md,120,1.2
Sorbus domestica,md,140,1.1
Sorbus domestica,md,160,1
Sorbus domestica,md,180,0.85
Sorbus domestica,md,200,0.7
Sorbus domestica,md,230,0.5
Sorbus domestica,md,260,0.3
Sorbus domestica,md,290,NA
Sorbus domestica,md,320,0
Juglans regia,md,20,NA
Juglans regia,md,60,NA
Juglans regia,md,90,0.5
Juglans regia,md,120,0.75
Juglans regia,md,140,1
Juglans regia,md,160,1.1
Juglans regia,md,180,1.2
Juglans regia,md,200,1.1
Juglans regia,md,230,1
Juglans regia,md,260,0.75
Juglans regia,md,290,0.5
Juglans regia,md,320,NA
Juglans nigra,md,20,NA
Juglans nigra,md,60,NA
Juglans nigra,md,90,0.5
Juglans nigra,md,120,0.95
Juglans nigra,md,140,1.1
Juglans nigra,md,160,1.2
Juglans nigra,md,180,1.1
Juglans nigra,md,200,NA
Juglans nigra,md,230,0.75
Juglans nigra,md,260,0.5
Juglans nigra,md,290,NA
Juglans nigra,md,320,NA
Picea sitchensis,dams,2,1
Picea sitchensis,dams,4,1
Picea sitchensis,dams,6,1
Picea sitchensis,dams,8,1
Picea sitchensis,dams,10,1
Picea sitchensis,dams,12,1
Picea sitchensis,dams,14,0.9
Picea sitchensis,dams,16,0.75
Picea sitchensis,dams,18,0.6
Picea sitchensis,dams,20,0.5
Picea sitchensis,dams,22,0.4
Picea sitchensis,dams,24,0.3
Picea abies,dams,2,1
Picea abies,dams,4,1.1
Picea abies,dams,6,1.2
Picea abies,dams,8,1.1
Picea abies,dams,10,1
Picea abies,dams,12,0.75
Picea abies,dams,14,0.5
Picea abies,dams,16,0.3
Picea abies,dams,18,0.2
Picea abies,dams,20,0.1
Picea abies,dams,22,0
Picea abies,dams,24,0
Pinus sylvestris,dams,2,1.2
Pinus sylvestris,dams,4,1.2
Pinus sylvestris,dams,6,1.2
Pinus sylvestris,dams,8,1.1
Pinus sylvestris,dams,10,1.1
Pinus sylvestris,dams,12,1
Pinus sylvestris,dams,14,0.8
Pinus sylvestris,dams,16,0.7
Pinus sylvestris,dams,18,0.6
Pinus sylvestris,dams,20,0.4
Pinus sylvestris,dams,22,0.2
Pinus sylvestris,dams,24,0
Pinus nigra ssp. Laricio,dams,2,1
Pinus nigra ssp. Laricio,dams,4,1
Pinus nigra ssp. Laricio,dams,6,1
Pinus nigra ssp. Laricio,dams,8,1
Pinus nigra ssp. Laricio,dams,10,1
Pinus nigra ssp. Laricio,dams,12,1
Pinus nigra ssp. Laricio,dams,14,0.9
Pinus nigra ssp. Laricio,dams,16,0.75
Pinus nigra ssp. Laricio,dams,18,0.5
Pinus nigra ssp. Laricio,dams,20,0.2
Pinus nigra ssp. Laricio,dams,22,0
Pinus nigra ssp. Laricio,dams,24,NA
Pinus contorta,dams,2,1
Pinus contorta,dams,4,1
Pinus contorta,dams,6,1
Pinus contorta,dams,8,1
Pinus contorta,dams,10,1
Pinus contorta,dams,12,1
Pinus contorta,dams,14,0.95
Pinus contorta,dams,16,0.8
Pinus contorta,dams,18,0.7
Pinus contorta,dams,20,0.45
Pinus contorta,dams,22,0
Pinus contorta,dams,24,NA
Pinus peuce,dams,2,1
Pinus peuce,dams,4,1
Pinus peuce,dams,6,1
Pinus peuce,dams,8,1
Pinus peuce,dams,10,1
Pinus peuce,dams,12,1
Pinus peuce,dams,14,1
Pinus peuce,dams,16,0.8
Pinus peuce,dams,18,0.6
Pinus peuce,dams,20,0.35
Pinus peuce,dams,22,0
Pinus peuce,dams,24,NA
Larix decidua,dams,2,1
Larix decidua,dams,4,1
Larix decidua,dams,6,1
Larix decidua,dams,8,1
Larix decidua,dams,10,1
Larix decidua,dams,12,0.9
Larix decidua,dams,14,0.75
Larix decidua,dams,16,0.6
Larix decidua,dams,18,0.4
Larix decidua,dams,20,0.2
Larix decidua,dams,22,0
Larix decidua,dams,24,NA
Larix kaempferi,dams,2,1
Larix kaempferi,dams,4,1
Larix kaempferi,dams,6,1
Larix kaempferi,dams,8,1
Larix kaempferi,dams,10,1
Larix kaempferi,dams,12,0.9
Larix kaempferi,dams,14,0.75
Larix kaempferi,dams,16,0.6
Larix kaempferi,dams,18,0.5
Larix kaempferi,dams,20,NA
Larix kaempferi,dams,22,NA
Larix kaempferi,dams,24,NA
Larix eurolepsis,dams,2,1
Larix eurolepsis,dams,4,1
Larix eurolepsis,dams,6,1
Larix eurolepsis,dams,8,1
Larix eurolepsis,dams,10,1
Larix eurolepsis,dams,12,1
Larix eurolepsis,dams,14,0.8
Larix eurolepsis,dams,16,0.6
Larix eurolepsis,dams,18,0.3
Larix eurolepsis,dams,20,0
Larix eurolepsis,dams,22,NA
Larix eurolepsis,dams,24,NA
Pseudotsuga menziesii,dams,2,1
Pseudotsuga menziesii,dams,4,1
Pseudotsuga menziesii,dams,6,1
Pseudotsuga menziesii,dams,8,1
Pseudotsuga menziesii,dams,10,1
Pseudotsuga menziesii,dams,12,0.75
Pseudotsuga menziesii,dams,14,0.55
Pseudotsuga menziesii,dams,16,0.3
Pseudotsuga menziesii,dams,18,0
Pseudotsuga menziesii,dams,20,NA
Pseudotsuga menziesii,dams,22,NA
Pseudotsuga menziesii,dams,24,NA
Abies procera,dams,2,1
Abies procera,dams,4,1
Abies procera,dams,6,1
Abies procera,dams,8,1
Abies procera,dams,10,1
Abies procera,dams,12,1
Abies procera,dams,14,1
Abies procera,dams,16,0.8
Abies procera,dams,18,0.6
Abies procera,dams,20,0.3
Abies procera,dams,22,NA
Abies procera,dams,24,NA
Abies amabilis,dams,2,1
Abies amabilis,dams,4,1
Abies amabilis,dams,6,1
Abies amabilis,dams,8,1
Abies amabilis,dams,10,1
Abies amabilis,dams,12,0.9
Abies amabilis,dams,14,0.7
Abies amabilis,dams,16,0.6
Abies amabilis,dams,18,0.5
Abies amabilis,dams,20,0.3
Abies amabilis,dams,22,NA
Abies amabilis,dams,24,NA
Tsuga heterophyla,dams,2,1
Tsuga heterophyla,dams,4,1
Tsuga heterophyla,dams,6,1
Tsuga heterophyla,dams,8,1
Tsuga heterophyla,dams,10,0.9
Tsuga heterophyla,dams,12,0.7
Tsuga heterophyla,dams,14,0.6
Tsuga heterophyla,dams,16,0.5
Tsuga heterophyla,dams,18,0.3
Tsuga heterophyla,dams,20,0
Tsuga heterophyla,dams,22,NA
Tsuga heterophyla,dams,24,NA
Thuja plicata,dams,2,1
Thuja plicata,dams,4,1
Thuja plicata,dams,6,1
Thuja plicata,dams,8,1
Thuja plicata,dams,10,1
Thuja plicata,dams,12,0.8
Thuja plicata,dams,14,0.6
Thuja plicata,dams,16,0.5
Thuja plicata,dams,18,0.3
Thuja plicata,dams,20,0
Thuja plicata,dams,22,NA
Thuja plicata,dams,24,NA
Sequoia sempervirens A1,dams,2,1
Sequoia sempervirens A1,dams,4,1
Sequoia sempervirens A1,dams,6,1
Sequoia sempervirens A1,dams,8,1
Sequoia sempervirens A1,dams,10,0.8
Sequoia sempervirens A1,dams,12,0.6
Sequoia sempervirens A1,dams,14,0.4
Sequoia sempervirens A1,dams,16,0
Sequoia sempervirens A1,dams,18,NA
Sequoia sempervirens A1,dams,20,NA
Sequoia sempervirens A1,dams,22,NA
Sequoia sempervirens A1,dams,24,NA
Master,dams,2,1
Master,dams,4,NA
Master,dams,6,NA
Master,dams,8,NA
Master,dams,10,NA
Master,dams,12,NA
Master,dams,14,NA
Master,dams,16,NA
Master,dams,18,NA
Master,dams,20,NA
Master,dams,22,NA
Master,dams,24,0
Quercus robur,dams,2,1
Quercus robur,dams,4,1
Quercus robur,dams,6,1
Quercus robur,dams,8,1
Quercus robur,dams,10,1
Quercus robur,dams,12,1
Quercus robur,dams,14,0.8
Quercus robur,dams,16,0.6
Quercus robur,dams,18,0.3
Quercus robur,dams,20,0
Quercus robur,dams,22,NA
Quercus robur,dams,24,NA
Quercus petraea,dams,2,1
Quercus petraea,dams,4,1
Quercus petraea,dams,6,1
Quercus petraea,dams,8,1
Quercus petraea,dams,10,1
Quercus petraea,dams,12,1
Quercus petraea,dams,14,0.75
Quercus petraea,dams,16,0.5
Quercus petraea,dams,18,0
Quercus petraea,dams,20,NA
Quercus petraea,dams,22,NA
Quercus petraea,dams,24,NA
Fagus sylvatica,dams,2,1
Fagus sylvatica,dams,4,1
Fagus sylvatica,dams,6,1
Fagus sylvatica,dams,8,1
Fagus sylvatica,dams,10,1
Fagus sylvatica,dams,12,1
Fagus sylvatica,dams,14,0.8
Fagus sylvatica,dams,16,0.6
Fagus sylvatica,dams,18,0.4
Fagus sylvatica,dams,20,0
Fagus sylvatica,dams,22,NA
Fagus sylvatica,dams,24,NA
Fraxinus excelsior,dams,2,1
Fraxinus excelsior,dams,4,1.1
Fraxinus excelsior,dams,6,1.1
Fraxinus excelsior,dams,8,1.1
Fraxinus excelsior,dams,10,1.1
Fraxinus excelsior,dams,12,1
Fraxinus excelsior,dams,14,0.7
Fraxinus excelsior,dams,16,0.5
Fraxinus excelsior,dams,18,0
Fraxinus excelsior,dams,20,NA
Fraxinus excelsior,dams,22,NA
Fraxinus excelsior,dams,24,NA
Acer pseudoplatanus,dams,2,1
Acer pseudoplatanus,dams,4,1
Acer pseudoplatanus,dams,6,1.1
Acer pseudoplatanus,dams,8,1.1
Acer pseudoplatanus,dams,10,1.1
Acer pseudoplatanus,dams,12,1
Acer pseudoplatanus,dams,14,0.75
Acer pseudoplatanus,dams,16,0.6
Acer pseudoplatanus,dams,18,0.5
Acer pseudoplatanus,dams,20,NA
Acer pseudoplatanus,dams,22,NA
Acer pseudoplatanus,dams,24,NA
Ulmus glabra,dams,2,1
Ulmus glabra,dams,4,1
Ulmus glabra,dams,6,1
Ulmus glabra,dams,8,1
Ulmus glabra,dams,10,0.9
Ulmus glabra,dams,12,0.75
Ulmus glabra,dams,14,0.6
Ulmus glabra,dams,16,0.5
Ulmus glabra,dams,18,NA
Ulmus glabra,dams,20,NA
Ulmus glabra,dams,22,NA
Ulmus glabra,dams,24,NA
Castanea sativa,dams,2,1
Castanea sativa,dams,4,1
Castanea sativa,dams,6,1
Castanea sativa,dams,8,1
Castanea sativa,dams,10,1
Castanea sativa,dams,12,1
Castanea sativa,dams,14,0.8
Castanea sativa,dams,16,0.7
Castanea sativa,dams,18,0.5
Castanea sativa,dams,20,0
Castanea sativa,dams,22,NA
Castanea sativa,dams,24,NA
Betula pendula,dams,2,1
Betula pendula,dams,4,1
Betula pendula,dams,6,1
Betula pendula,dams,8,1
Betula pendula,dams,10,1
Betula pendula,dams,12,0.9
Betula pendula,dams,14,0.7
Betula pendula,dams,16,0.5
Betula pendula,dams,18,0.3
Betula pendula,dams,20,0.1
Betula pendula,dams,22,NA
Betula pendula,dams,24,NA
Betula pubescens,dams,2,1
Betula pubescens,dams,4,1
Betula pubescens,dams,6,1
Betula pubescens,dams,8,1
Betula pubescens,dams,10,1
Betula pubescens,dams,12,1
Betula pubescens,dams,14,1
Betula pubescens,dams,16,0.8
Betula pubescens,dams,18,0.6
Betula pubescens,dams,20,0.3
Betula pubescens,dams,22,0
Betula pubescens,dams,24,NA
Populus tremula,dams,2,1
Populus tremula,dams,4,1
Populus tremula,dams,6,1
Populus tremula,dams,8,1
Populus tremula,dams,10,1
